# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2002	APPS	1.3
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2002	PCT_AREA	64
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2002	PER_APP	19
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2002	PER_YEAR	26
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2004	APPS	1.4
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2004	PCT_AREA	64
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2004	PER_APP	19
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2004	PER_YEAR	25
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2006	APPS	1.1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2006	PCT_AREA	43
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2006	PER_APP	12
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2006	PER_YEAR	13
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2012	APPS	1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2012	PCT_AREA	51
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2012	PER_APP	11
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2012	PER_YEAR	11
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	APPS	1.1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PCT_AREA	48
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PER_APP	9
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PER_YEAR	10
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2017	APPS	1.1
